交易日期,種類代碼,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
115.06.12,N05,11,椰子,104,台北二,22.9,17.5,12.6,17.6,989.0
115.06.12,N05,42,楊梅,104,台北二,75.0,73.8,65.0,72.3,88.0
115.06.12,N05,459,草莓-進口,104,台北二,222.2,222.2,222.2,222.2,99.0
115.06.12,N05,469,藍莓-進口,104,台北二,352.6,258.3,123.3,250.1,256.0
115.06.12,N05,50,百香果-其他,104,台北二,60.0,51.6,39.9,51.0,232.0
115.06.12,N05,51,百香果-改良種,104,台北二,134.7,75.4,38.7,79.9,3667.0
115.06.12,N05,70,小番茄-其他,104,台北二,48.1,40.0,35.8,40.8,260.0
115.06.12,N05,72,小番茄-聖女,104,台北二,96.0,47.2,34.7,54.4,4709.0
115.06.12,N05,74,小番茄-玉女,104,台北二,404.0,165.9,57.8,191.9,491.0
115.06.12,N05,811,紅龍果-白肉,104,台北二,88.5,47.2,30.5,52.1,726.0
115.06.12,N05,812,紅龍果-紅肉,104,台北二,42.9,38.7,30.0,37.8,14903.0
115.06.12,N05,813,紅龍果-雙色紅龍果,104,台北二,153.7,47.9,37.1,66.9,354.0
115.06.12,N05,839,櫻桃-進口,104,台北二,442.3,232.4,82.0,244.3,5276.0
115.06.12,N05,859,榴槤-進口,104,台北二,127.2,72.0,66.7,82.0,4010.0
115.06.12,N05,91,其他,104,台北二,50.0,48.5,29.4,45.0,167.0
115.06.12,N05,A0,香蕉-其他,104,台北二,10.0,10.0,10.0,10.0,15.0
115.06.12,N05,A1,香蕉,104,台北二,33.1,20.7,12.9,21.6,13196.0
115.06.12,N05,A2,香蕉-芭蕉紅芭蕉,104,台北二,64.2,30.5,15.7,34.3,2199.0
115.06.12,N05,A3,香蕉-旦蕉,104,台北二,25.0,25.0,25.0,25.0,30.0
115.06.12,N05,A4,香蕉-越旦,104,台北二,20.3,16.6,13.3,16.7,1004.0
115.06.12,N05,B0,鳳梨-其他,104,台北二,18.0,16.8,15.0,16.7,407.0
115.06.12,N05,B2,鳳梨-金鑽鳳梨,104,台北二,41.0,22.2,12.9,24.1,23963.0
115.06.12,N05,B6,鳳梨-甜蜜蜜,104,台北二,27.3,20.2,15.4,20.7,5601.0
115.06.12,N05,C9,柑橘-進口,104,台北二,425.2,63.6,59.3,135.0,975.0
115.06.12,N05,E9,甜橙-進口,104,台北二,170.0,170.0,170.0,170.0,10.0
115.06.12,N05,F0,雜柑-其他,104,台北二,30.0,22.4,12.0,21.8,44.0
115.06.12,N05,F1,雜柑-檸檬,104,台北二,46.6,43.8,33.5,42.3,606.0
115.06.12,N05,F4,雜柑-桔子,104,台北二,45.8,27.5,10.0,27.6,475.0
115.06.12,N05,F5,雜柑-無子檸檬,104,台北二,54.7,40.4,23.6,39.9,3212.0
115.06.12,N05,F6,雜柑-黃金檸檬,104,台北二,40.0,32.6,15.8,30.7,144.0
115.06.12,N04,FA0,其他花類,104,台北二,110.0,110.0,110.0,110.0,10.0
115.06.12,N04,FA1,黃秋葵,104,台北二,74.9,40.0,15.6,42.1,2209.0
115.06.12,N04,FB1,花椰菜-青梗,104,台北二,56.3,31.8,15.8,33.5,3050.0
115.06.12,N04,FC1,胡瓜-黑刺,104,台北二,36.5,18.4,7.5,19.8,7097.0
115.06.12,N04,FD0,花胡瓜-其他,104,台北二,67.2,31.2,24.0,37.0,852.0
115.06.12,N04,FD1,花胡瓜,104,台北二,50.8,26.6,8.7,27.8,13769.0
115.06.12,N04,FE1,冬瓜-白皮,104,台北二,20.2,12.7,9.7,13.6,3036.0
115.06.12,N04,FF0,絲瓜-其他,104,台北二,40.1,22.0,8.7,23.0,2242.0
115.06.12,N04,FF1,絲瓜,104,台北二,41.6,25.6,10.5,25.8,11203.0
115.06.12,N04,FF2,絲瓜-角瓜,104,台北二,50.0,44.0,21.7,40.7,143.0
115.06.12,N04,FF4,絲瓜-長絲瓜,104,台北二,25.0,25.0,25.0,25.0,24.0
115.06.12,N04,FG0,苦瓜-其他,104,台北二,34.0,22.5,9.6,22.2,3047.0
115.06.12,N04,FG1,苦瓜-白大米,104,台北二,40.2,23.7,10.7,24.4,9356.0
115.06.12,N04,FG3,苦瓜-山苦瓜,104,台北二,41.8,28.4,24.2,30.3,125.0
115.06.12,N04,FG4,苦瓜-翠綠,104,台北二,29.2,14.9,7.5,16.3,786.0
115.06.12,N04,FH2,扁蒲-圓形,104,台北二,4.0,4.0,4.0,4.0,83.0
115.06.12,N04,FH3,扁蒲-花蒲,104,台北二,23.2,7.8,4.4,10.2,4067.0
115.06.12,N04,FH4,扁蒲-梨子蒲,104,台北二,23.4,9.3,5.8,11.4,3654.0
115.06.12,N04,FI0,茄子-其他,104,台北二,36.0,17.9,7.0,19.4,187.0
115.06.12,N04,FI2,茄子-麻荸茄,104,台北二,32.1,17.8,9.0,18.9,10350.0
115.06.12,N04,FI3,茄子-日本種,104,台北二,23.0,13.1,6.8,13.8,186.0
115.06.12,N04,FJ1,番茄-黑柿,104,台北二,54.7,32.1,14.8,33.2,776.0
115.06.12,N04,FJ3,番茄-牛番茄,104,台北二,57.7,41.9,16.8,40.0,14915.0
115.06.12,N04,FK3,甜椒-新香,104,台北二,32.0,25.4,25.0,26.6,65.0
115.06.12,N04,FK40,甜椒-彩色種 其他,104,台北二,93.5,65.0,21.0,61.9,135.0
115.06.12,N04,FK41,甜椒-彩色種 紅色,104,台北二,76.0,48.9,22.1,49.0,963.0
115.06.12,N04,FK42,甜椒-彩色種 黃色,104,台北二,88.1,46.6,26.1,50.8,668.0
115.06.12,N04,FK5,甜椒-青椒,104,台北二,57.1,38.4,14.0,37.2,2952.0
