=== REGIONAL MARKET DETAILS ===

--- 北部地區市場交易詳情 ---
地區 市場名稱 種類        平均價      交易量  筆數
北部  三重區 水果  83.200971 612930.0 103
北部  三重區 蔬菜  40.169784 162167.0 139
北部  台北一 水果  71.701980 493100.0 101
北部  台北一 蔬菜  62.306637 973878.0 226
北部  台北二 水果  78.402041 303311.0  98
北部  台北二 蔬菜  55.729384 491107.0 211
北部 台北市場 花卉 163.316250  64033.0 320
北部  宜蘭市 水果  52.250000  92400.0  28
北部  宜蘭市 蔬菜  23.676471 121250.0  34
北部  板橋區 水果  84.529412 116190.0  68
北部  板橋區 蔬菜  45.224719 282915.0 178
北部   桃農 水果  32.883333  10240.0  24
北部   桃農 蔬菜  43.478014 187952.0 141
北部  花蓮市 蔬菜  35.965000  37033.5  60

--- 中部地區市場交易詳情 ---
地區 市場名稱 種類        平均價      交易量  筆數
中部  南投市 蔬菜  22.413333   7013.0  12
中部  台中市 水果  85.507059 764041.0  85
中部  台中市 蔬菜  34.069737 176784.0 152
中部 台中市場 花卉 113.429032  23968.0 186
中部 彰化市場 花卉 133.705202  33342.0 173
中部  東勢鎮 水果  96.751429  22618.5   7
中部  永靖鄉 蔬菜  19.900000  55285.0   7
中部  溪湖鎮 蔬菜  32.908571 119776.0  35
中部  豐原區 水果  67.856250  60847.7  32
中部  豐原區 蔬菜  32.829126 110764.4 103

--- 南部地區市場交易詳情 ---
地區 市場名稱 種類        平均價      交易量  筆數
南部 台南市場 花卉 125.380435  31831.0 184
南部  台東市 水果  55.347059  29046.0  17
南部  台東市 蔬菜  37.219512  20783.0  41
南部  嘉義市 水果  63.647059 246600.0  34
南部  屏東市 蔬菜  30.944538 330144.0 119
南部  西螺鎮 蔬菜  41.513636 902559.0  44
南部  高雄市 水果  91.802000  71484.0  45
南部  高雄市 蔬菜  48.528742 295422.0 151
南部 高雄市場 花卉 127.440000  33985.0 200
南部  鳳山區 水果  42.940909 134190.0  22
南部  鳳山區 蔬菜  23.298214  97442.0  56

