=== MARKET PRICES REGIONAL ANALYSIS ===

--- Overall Statistics by Region ---
種類 地區   平均價_Mean  平均價_Median      總交易量  交易筆數
水果 中部  81.586774        60.8  847507.2   124
水果 北部  74.633175        45.0 1628171.0   422
水果 南部  69.327881        43.0  481320.0   118
花卉 中部 123.200000        95.0   57310.0   359
花卉 北部 163.316250       125.0   64033.0   320
花卉 南部 126.453125        94.5   65816.0   384
蔬菜 中部  32.751003        23.3  469622.4   309
蔬菜 北部  49.107280        33.7 2256302.5   989
蔬菜 南部  38.120535        27.9 1646350.0   411

--- Detailed Common Crops Analysis ---
地區   平均價_Mean  平均價_Median     總交易量      作物 種類
中部  18.350000      18.350  53087.1      香蕉 水果
北部  17.466667      16.800  57991.0      香蕉 水果
南部  18.387500      18.975  22505.0      香蕉 水果
中部  21.300000      21.300 119048.0 鳳梨-金鑽鳳梨 水果
北部  19.600000      19.100 101832.0 鳳梨-金鑽鳳梨 水果
南部  16.795000      16.600  61345.0 鳳梨-金鑽鳳梨 水果
中部  39.300000      39.300 100678.2   芒果-愛文 水果
北部  41.750000      41.850 248744.0   芒果-愛文 水果
南部  39.272500      37.350  33151.0   芒果-愛文 水果
中部  16.000000      16.000  65338.4  西瓜-大西瓜 水果
北部  16.260000      15.400 205564.0  西瓜-大西瓜 水果
南部  18.427500      19.305  78355.0  西瓜-大西瓜 水果
中部  74.200000      75.100   3841.0   青蔥-粉蔥 蔬菜
北部  69.542857      66.800  41744.5   青蔥-粉蔥 蔬菜
南部  66.487500      65.400  28449.0   青蔥-粉蔥 蔬菜
中部  22.230000      23.700  38036.0   甘藍-初秋 蔬菜
北部  20.300000      20.300 295889.5   甘藍-初秋 蔬菜
南部  23.104000      22.820 266863.0   甘藍-初秋 蔬菜
中部  22.210000      22.120  14468.7      絲瓜 蔬菜
北部  24.028571      24.000  69300.5      絲瓜 蔬菜
南部  22.754000      24.400  61098.0      絲瓜 蔬菜
中部  19.100000      21.500  10242.0  番茄-牛番茄 蔬菜
北部  36.871429      35.000  59397.5  番茄-牛番茄 蔬菜
南部  37.644000      40.220  47061.0  番茄-牛番茄 蔬菜
中部  38.800000      38.800   1935.0  大菊-白天星 花卉
北部  62.600000      62.600   1509.0  大菊-白天星 花卉
南部  41.000000      41.000   1385.0  大菊-白天星 花卉
北部  11.600000      11.600    642.0  火鶴花-紅色 花卉
南部  11.000000      11.000    390.0  火鶴花-紅色 花卉
中部  83.200000      83.200   1751.0 非洲菊-混合色 花卉
北部 104.300000     104.300    399.0 非洲菊-混合色 花卉
南部  61.000000      61.000   1770.0 非洲菊-混合色 花卉
中部  24.200000      24.200   2116.0     百合竹 花卉
北部   6.500000       6.500   2330.0     百合竹 花卉
南部  28.000000      28.000   1891.0     百合竹 花卉
